"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama"
164958204,"Oregon",0,1,1,0,0,25,0
162318336,"Washington",1,0,0,0,0,25,1
162293865,"Michigan",1,0,1,0,1,35,1
162301015,"California",0,0,1,0,0,5,NA
164625265,"Tennessee",0,1,1,0,0,35,0
162468967,"Oklahoma",1,0,1,0,1,55,1
165326609,"Michigan",1,0,0,1,0,25,1
162502202,"Massachusetts",0,0,1,0,0,75,0
162372164,"Idaho",1,0,1,0,0,90,1
163433624,"California",0,1,0,0,0,65,0
162371779,"South Carolina",0,1,1,0,1,NA,0
164589546,"New Jersey",1,0,1,0,0,45,NA
164964748,"New York",0,0,1,0,0,35,0
163866448,"Michigan",1,0,0,1,0,35,1
164249676,"Pennsylvania",0,0,1,0,0,45,0
162988296,"Pennsylvania",1,0,1,0,0,25,1
163641097,"Minnesota",0,1,1,0,0,NA,0
164033664,"Minnesota",1,0,1,0,0,15,1
165703074,"Florida",0,1,0,0,1,NA,NA
162399348,"Nevada",0,0,1,0,1,65,0
162273033,"Kentucky",1,0,1,0,0,25,1
162274500,"Pennsylvania",1,0,0,1,0,35,1
164938185,"Missouri",1,0,1,0,0,110,1
162367682,"Massachusetts",1,0,1,0,0,55,NA
164368916,"New York",0,0,1,0,0,110,0
163173726,"New York",0,0,1,0,1,500,1
163389877,"Georgia",0,1,1,0,0,90,0
162300608,"Oregon",1,0,1,0,0,110,0
163252618,"Texas",0,1,0,0,0,NA,0
162858093,"Illinois",1,0,1,0,0,130,1
162400105,"Michigan",0,0,0,0,0,NA,0
162191640,"New York",1,0,1,0,0,25,1
162528508,"Connecticut",0,0,1,0,0,90,1
163709965,"Mississippi",1,0,0,1,1,25,1
163219347,"New York",0,0,1,0,0,110,0
164697906,"Wisconsin",0,1,1,0,0,75,0
162511377,"Nevada",1,0,1,0,0,175,1
162377644,"Virginia",0,1,1,0,1,65,0
162338009,"New Jersey",0,1,1,0,1,90,0
162334456,"Florida",1,0,0,0,0,75,0
163351867,"Michigan",0,1,1,0,1,90,0
162434187,"New Jersey",0,0,1,0,1,90,1
163173577,"Ohio",0,1,1,0,0,25,0
162164424,"Washington",0,1,1,0,0,35,0
165275548,"Texas",0,1,0,0,0,45,0
162357440,"Oklahoma",1,0,0,0,1,NA,1
164431901,"Texas",0,0,0,0,0,NA,NA
164144733,"Texas",1,0,0,0,0,15,1
162433164,"North Carolina",1,0,1,0,0,35,NA
164536551,"Georgia",0,1,1,0,0,35,NA
163745622,"New York",1,0,0,1,0,90,NA
165937158,"Virginia",1,0,1,0,0,130,0
162402124,"Kentucky",0,0,1,0,1,65,NA
163864582,"Florida",1,0,1,0,0,45,1
165001368,"California",1,0,0,1,0,55,NA
162374473,"South Carolina",0,1,0,0,0,65,0
163232083,"Tennessee",0,1,1,0,1,110,0
164953889,"Missouri",0,0,1,0,0,NA,NA
166587432,"Pennsylvania",0,0,1,0,0,25,0
162319951,"Virginia",0,0,1,0,1,90,1
164673344,"South Carolina",0,0,0,1,0,NA,NA
163399985,"North Carolina",0,1,1,0,0,35,NA
164532915,"Connecticut",0,0,1,0,0,35,NA
162603422,"Michigan",0,0,1,0,0,45,0
162867184,"Alaska",0,0,1,0,0,35,0
163730029,"Texas",1,0,0,0,0,35,NA
164553835,"Florida",1,0,1,0,0,15,1
162443685,"Indiana",0,0,1,0,0,55,0
162581717,"Indiana",0,0,1,0,1,25,0
162404168,"California",1,0,0,0,0,5,1
162659054,"Michigan",0,0,1,0,0,35,1
163525899,"Illinois",0,0,0,0,0,90,NA
161830255,"Michigan",0,0,1,0,0,55,0
162448905,"Connecticut",1,0,1,0,1,25,NA
163255945,"California",1,0,0,1,0,55,NA
163860231,"Mississippi",1,0,1,0,0,75,NA
164164920,"Georgia",0,0,1,0,0,45,0
162920210,"Arizona",1,0,1,0,0,25,1
164305562,"Maryland",0,0,1,0,0,75,0
164614919,"Michigan",1,0,1,0,0,130,1
163685283,"Wyoming",1,0,1,0,0,45,NA
163077917,"Texas",0,1,1,0,1,130,0
164764529,"Florida",1,0,0,1,0,15,1
162848797,"Iowa",0,0,1,0,0,25,NA
162401885,"Pennsylvania",0,1,1,0,1,90,0
162490188,"Oregon",0,0,1,0,0,15,NA
162502340,"California",1,0,1,0,0,NA,1
163010092,"Georgia",0,0,0,1,0,65,NA
163929970,"Virginia",0,1,1,0,0,55,0
163713753,"Washington",0,1,1,0,0,90,0
164984416,"Texas",0,0,0,1,0,110,1
164028683,"Arizona",0,1,1,0,0,65,NA
162356589,"Nebraska",0,1,1,0,1,500,0
164461789,"Tennessee",1,0,1,0,0,110,NA
165593195,"Virginia",1,0,0,1,0,130,0
162165291,"North Carolina",0,1,1,0,1,75,0
163941722,"Oregon",1,0,1,0,0,25,1
163590418,"New York",1,0,1,0,0,35,1
165321891,"Tennessee",1,0,1,0,1,65,0
162342501,"Nebraska",1,0,1,0,0,35,1
163871897,"New Jersey",1,0,0,1,0,65,1
163069317,"Oklahoma",0,0,1,0,0,45,NA
162455241,"Illinois",0,0,1,0,1,45,0
165772546,"Maine",1,0,1,0,1,300,0
161860882,"Oklahoma",0,1,1,0,0,15,1
162241790,"Arkansas",1,0,1,0,0,35,1
164693598,"Michigan",0,0,1,0,0,45,1
163377831,"California",1,0,1,0,1,300,1
164815649,"Wisconsin",0,0,1,0,0,NA,0
162620392,"North Carolina",1,0,1,0,1,55,1
163560285,"Maryland",1,0,0,1,0,NA,1
161766227,"Montana",0,1,0,0,0,5,1
163603108,"California",0,0,1,0,1,NA,NA
165179513,"Florida",0,0,0,0,0,35,1
162593175,"Florida",0,0,1,0,0,35,NA
166437404,"Tennessee",1,0,1,0,0,NA,0
165082371,"Arizona",1,0,1,0,0,35,1
164598411,"Tennessee",0,1,1,0,1,NA,NA
164972728,"Indiana",1,0,0,1,0,35,NA
162150118,"Nebraska",0,1,1,0,1,130,0
164829808,"Michigan",1,0,1,0,0,45,1
162497534,"Oregon",1,0,1,0,0,15,1
165113292,"Texas",0,0,0,0,0,130,NA
164196474,"Nebraska",1,0,1,0,0,45,1
162448756,"North Carolina",1,0,0,1,1,25,1
163537495,"Iowa",0,1,1,0,1,425,0
164021238,"Kentucky",0,1,1,0,0,65,0
164849500,"Mississippi",0,0,0,0,1,65,NA
162733742,"Indiana",0,1,1,0,1,55,0
163189727,"Massachusetts",1,0,1,0,0,55,1
162455765,"Pennsylvania",1,0,0,1,1,130,1
162483370,"Arizona",0,0,1,0,0,15,0
163692746,"Ohio",0,1,1,0,0,90,0
164949953,"Nebraska",0,1,1,0,0,75,1
164861942,"Illinois",1,0,1,0,0,110,NA
161852948,"Texas",1,0,1,0,1,110,1
162706433,"Florida",0,1,0,0,1,175,NA
163361974,"Pennsylvania",1,0,1,0,1,175,1
162426756,"South Dakota",1,0,1,0,0,25,1
163404436,"Virginia",0,1,1,0,0,55,0
164294590,"Alaska",0,1,1,0,0,65,0
162352707,"North Carolina",1,0,1,0,0,130,1
162333435,"California",1,0,1,0,1,35,1
164467016,"Virginia",1,0,1,0,0,75,NA
165065385,"Maryland",1,0,0,0,0,45,NA
163101381,"North Carolina",0,0,1,0,0,45,1
164033713,"New Jersey",0,0,1,0,1,175,0
162311839,"New Mexico",0,1,1,0,1,NA,0
165216399,"Massachusetts",1,0,1,0,0,25,1
164234817,"Illinois",0,1,1,0,0,NA,0
163148176,"New Mexico",0,0,1,0,0,35,1
164533072,"South Carolina",0,0,1,0,0,35,NA
162397348,"Texas",0,0,1,0,1,225,0
162424773,"Ohio",0,1,1,0,1,130,NA
162695603,"Iowa",1,0,1,0,0,55,1
162436671,"Delaware",0,0,1,0,0,65,1
163132438,"Idaho",0,0,1,0,0,55,NA
162430154,"Montana",1,0,1,0,0,25,1
162882943,"Texas",0,0,1,0,0,75,1
162409019,"Tennessee",1,0,1,0,1,NA,1
162700274,"Nebraska",0,1,1,0,0,45,0
162297656,"Arkansas",1,0,1,0,1,35,1
163521929,"Florida",1,0,0,0,1,90,NA
162521707,"Texas",0,1,1,0,0,45,NA
164642208,"New Jersey",1,0,0,0,0,35,1
164024807,"California",1,0,1,0,0,5,NA
162304804,"Wisconsin",1,0,1,0,1,55,1
163811375,"South Carolina",1,0,0,1,0,5,NA
165931645,"Oregon",1,0,1,0,1,5,1
164629994,"Georgia",1,0,0,1,0,75,1
164169575,"Arkansas",0,0,1,0,1,NA,NA
162350190,"Mississippi",0,0,1,0,0,25,1
164451895,"Pennsylvania",0,0,1,0,0,110,1
162709709,"Massachusetts",0,1,1,0,0,25,NA
163069044,"California",0,0,0,0,0,15,NA
162455148,"Tennessee",0,0,0,1,0,35,1
166608339,"Michigan",0,1,1,0,1,500,NA
164208767,"New York",0,1,1,0,0,35,0
164033694,"California",0,0,0,0,0,NA,1
166539045,"Alabama",0,1,1,0,1,130,0
164200614,"California",1,0,0,0,0,35,1
164588023,"Ohio",1,0,1,0,0,45,1
164655414,"New York",1,0,1,0,1,25,1
164243218,"Florida",1,0,0,0,0,NA,NA
162603322,"Alabama",0,0,1,0,0,65,0
163200367,"Florida",1,0,1,0,0,25,1
163379477,"Oregon",1,0,1,0,0,45,1
162255272,"Texas",1,0,1,0,1,90,1
162408422,"Missouri",0,1,1,0,1,55,0
164716605,"Florida",0,1,1,0,0,45,0
162551266,"New York",1,0,0,0,1,55,1
161716417,"New Jersey",0,0,1,0,0,NA,0
162458575,"Alabama",1,0,0,1,0,35,NA
162259885,"Connecticut",1,0,1,0,1,55,1
163861048,"Oregon",0,0,1,0,1,45,0
164579434,"Texas",0,0,1,0,1,35,0
161737382,"Pennsylvania",0,1,1,0,0,45,0
164965070,"Ohio",0,1,1,0,0,55,0
164769670,"New Hampshire",0,0,1,0,0,25,1
162578360,"Tennessee",0,0,1,0,0,65,NA
161834247,"North Carolina",0,1,1,0,0,55,0
163195939,"Florida",1,0,1,0,0,110,0
165017757,"Arizona",1,0,1,0,0,25,NA
162797574,"Washington",0,1,1,0,0,55,0
162858227,"Oregon",0,0,0,0,0,5,1
163176285,"Georgia",1,0,0,1,1,45,NA
162319721,"Texas",0,0,1,0,1,110,1
164251024,"Illinois",0,0,1,0,0,35,0
165528326,"Texas",1,0,1,0,0,25,0
165065310,"Delaware",0,1,1,0,0,15,0
164554601,"Illinois",1,0,0,0,1,35,1
164017341,"North Carolina",0,0,1,0,0,55,1
165174743,"Florida",0,1,0,0,0,35,0
162438233,"North Carolina",1,0,1,0,0,35,NA
164021255,"Florida",1,0,0,1,0,65,1
163046906,"South Carolina",1,0,0,1,0,15,1
162463908,"Michigan",0,1,1,0,0,75,0
162862896,"New York",1,0,1,0,0,35,1
163689498,"Arizona",0,0,0,0,0,35,NA
162572153,"Michigan",0,0,1,0,0,NA,0
162255410,"Colorado",0,1,1,0,0,55,0
164961511,"Georgia",1,0,0,0,0,90,1
163857192,"California",1,0,0,0,0,25,NA
163721688,"Texas",1,0,0,1,1,45,NA
163763811,"Indiana",0,0,1,0,0,25,NA
162520611,"Maryland",1,0,0,1,0,55,1
163328280,"Florida",0,1,1,0,0,25,0
164815852,"Georgia",0,0,1,0,0,15,NA
164017075,"California",0,1,1,0,0,NA,0
162827348,"Minnesota",1,0,0,0,0,110,1
166532577,"Texas",1,0,0,0,1,NA,NA
165210704,"California",1,0,0,0,1,175,1
162558242,"Maryland",1,0,0,1,1,110,1
162342499,"Texas",0,0,1,0,1,25,0
164533278,"Pennsylvania",1,0,1,0,1,35,1
164327622,"Texas",0,1,1,0,0,25,0
163379610,"Illinois",0,0,0,1,0,45,NA
165102492,"Oregon",0,1,0,0,0,25,NA
164030985,"Illinois",0,0,1,0,0,NA,0
162342556,"Iowa",0,1,1,0,1,75,0
162404027,"Iowa",0,1,1,0,0,75,0
165685420,"Washington",0,1,1,0,0,55,NA
162282657,"Missouri",0,0,1,0,0,25,0
164797138,"Pennsylvania",1,0,1,0,1,90,1
166752317,"Michigan",0,0,1,0,1,45,1
162285809,"California",1,0,1,0,1,35,1
164790866,"New York",0,1,0,0,1,65,0
162874148,"Wisconsin",0,0,1,0,0,25,0
162262907,"Texas",0,1,0,0,1,90,0
163565094,"Georgia",0,1,1,0,0,25,NA
165119491,"Texas",1,0,0,1,0,35,NA
162357411,"Arizona",0,0,0,0,1,55,1
162462154,"South Carolina",0,1,1,0,1,65,NA
164344963,"Michigan",1,0,1,0,0,45,1
163195429,"Texas",0,1,0,0,0,90,0
162777554,"Michigan",0,0,1,0,1,90,0
163458409,"Tennessee",0,1,1,0,0,65,0
162154498,"Alabama",0,0,1,0,0,65,NA
163381042,"Florida",1,0,1,0,0,35,1
162353046,"Ohio",1,0,1,0,0,35,1
162259106,"Illinois",0,1,0,0,1,90,0
163241262,"California",1,0,0,1,0,5,NA
162260159,"California",0,0,1,0,0,NA,0
162293077,"Tennessee",1,0,1,0,1,175,1
161815421,"Washington",0,0,1,0,0,55,0
162554705,"Wisconsin",1,0,1,0,0,5,NA
165729339,"South Dakota",0,1,1,0,0,NA,0
164985206,"California",0,1,0,0,0,65,NA
164582734,"California",1,0,0,0,0,90,1
164769675,"Massachusetts",1,0,1,0,0,75,NA
166597603,"South Carolina",0,0,1,0,1,25,NA
166598128,"California",1,0,1,0,1,90,1
164357291,"Ohio",0,1,0,0,0,35,NA
164697563,"California",1,0,0,0,0,25,0
164384280,"Minnesota",0,1,1,0,0,55,0
164715084,"Ohio",0,1,1,0,0,45,0
165398107,"Illinois",1,0,0,0,1,45,1
164481264,"Florida",0,1,1,0,0,45,0
166515339,"Washington",0,0,1,0,1,55,0
162473789,"Oklahoma",0,1,1,0,0,90,0
162421482,"California",1,0,1,0,0,NA,1
162890976,"Tennessee",0,0,1,0,1,65,NA
162419151,"Arizona",0,1,1,0,0,15,0
164368877,"Iowa",0,1,1,0,0,35,0
162737595,"North Carolina",0,0,0,1,0,65,NA
164756330,"Washington",1,0,1,0,0,65,1
163388117,"South Carolina",0,0,1,0,0,25,0
163603956,"Nevada",0,1,1,0,0,NA,0
162397861,"Nebraska",0,0,1,0,0,75,1
162252707,"Oregon",0,1,1,0,1,65,0
163367823,"Tennessee",0,1,1,0,0,55,0
162434736,"New Hampshire",0,0,1,0,0,175,0
162319610,"New Hampshire",0,1,1,0,0,90,0
163351841,"North Carolina",0,0,0,0,1,45,NA
163748155,"Maryland",0,1,1,0,0,90,0
162416666,"Texas",0,1,0,0,1,130,0
162395461,"Washington",1,0,1,0,1,175,1
163055503,"Arizona",1,0,1,0,0,55,NA
164629766,"Texas",0,1,1,0,0,65,0
165098406,"Connecticut",1,0,0,0,0,5,NA
162001683,"Washington",0,1,0,0,0,NA,0
163837369,"Ohio",0,1,1,0,1,75,0
163760231,"Illinois",1,0,0,1,1,75,1
162300949,"Arizona",0,1,1,0,0,65,0
161886380,"Wisconsin",1,0,1,0,0,15,1
164178788,"Hawaii",1,0,0,0,0,130,1
164950534,"Michigan",0,0,1,0,0,NA,0
164701843,"Texas",0,1,1,0,0,35,NA
163182712,"New York",0,0,1,0,0,15,1
162325058,"Illinois",0,0,1,0,0,130,1
165089942,"Virginia",0,0,1,0,0,75,NA
162418642,"Washington",1,0,1,0,1,65,1
162747375,"Washington",1,0,0,1,1,90,1
164779112,"Indiana",1,0,1,0,0,15,1
162863085,"Virginia",0,0,1,0,1,45,0
162434190,"New Jersey",1,0,1,0,1,110,1
162430812,"Alabama",0,0,1,0,1,65,0
162264340,"Louisiana",0,0,1,0,1,45,1
162448719,"Pennsylvania",0,1,1,0,1,110,0
162438153,"Washington",1,0,1,0,0,25,1
163612382,"Georgia",0,1,0,1,0,45,0
162424450,"Washington",0,0,1,0,0,130,0
163185558,"California",1,0,1,0,1,55,NA
164811668,"California",0,0,1,0,1,45,1
161830937,"California",1,0,0,0,0,NA,1
163180952,"California",0,1,0,0,1,110,0
164666200,"South Carolina",1,0,0,1,0,NA,NA
163600706,"Illinois",0,1,1,0,0,NA,0
164558325,"New Hampshire",0,0,1,0,0,5,NA
163600722,"California",1,0,1,0,1,90,NA
163149418,"Arizona",1,0,1,0,1,NA,1
164567293,"New York",1,0,0,0,0,5,NA
164025077,"Kentucky",1,0,1,0,0,130,0
164336476,"Virginia",0,0,0,0,0,35,1
166088975,"Alabama",0,0,1,0,0,15,NA
164764683,"Pennsylvania",1,0,1,0,0,25,NA
164937899,"New York",0,0,0,0,0,55,NA
162455863,"Georgia",0,1,1,0,1,75,0
165232208,"Florida",1,0,0,0,0,35,0
164005504,"Oregon",0,1,1,0,0,35,0
162425164,"Virginia",0,1,1,0,1,130,0
164128769,"Nebraska",0,0,1,0,0,90,NA
161825748,"New Jersey",0,0,0,0,1,90,0
164507227,"New York",0,0,1,0,0,65,NA
166570142,"Pennsylvania",1,0,1,0,1,NA,1
162272814,"Arkansas",0,0,1,0,1,90,0
164392704,"Utah",0,0,1,0,1,15,0
162403718,"Arizona",0,1,1,0,1,55,0
162395237,"Texas",0,1,1,0,1,15,0
162585682,"Illinois",0,0,0,1,0,65,1
162347190,"California",0,1,1,0,1,65,1
166657919,"Washington",1,0,1,0,0,45,1
161809776,"Texas",1,0,0,0,0,35,1
162347173,"Texas",1,0,1,0,1,130,1
162430190,"Virginia",0,0,1,0,0,25,0
164288514,"Texas",0,1,1,0,0,NA,0
162871045,"Missouri",0,1,1,0,0,65,0
162322531,"Texas",0,1,0,0,1,425,0
162866960,"Montana",0,0,1,0,0,25,0
164498839,"Virginia",0,0,1,0,0,NA,1
163290106,"North Carolina",0,1,1,0,1,25,0
164295480,"Massachusetts",0,0,1,0,1,110,1
162635988,"Maryland",1,0,0,1,0,90,NA
163050493,"Pennsylvania",0,1,1,0,0,90,0
164054335,"Pennsylvania",1,0,0,1,0,25,1
163161311,"Pennsylvania",0,1,1,0,0,NA,0
163399974,"Colorado",0,1,0,0,0,55,0
165288910,"South Carolina",0,0,1,0,1,25,NA
163221828,"Indiana",1,0,1,0,0,NA,NA
162253218,"Connecticut",0,1,0,0,0,NA,0
162702585,"Pennsylvania",1,0,0,0,1,35,1
162740411,"Indiana",1,0,0,1,0,15,1
164215993,"California",1,0,1,0,0,NA,1
162858215,"Colorado",1,0,1,0,1,90,1
163367663,"Florida",0,1,1,0,1,25,0
163388240,"Illinois",0,0,0,0,0,25,NA
162304179,"Texas",1,0,1,0,1,110,1
164017196,"Pennsylvania",0,0,1,0,0,25,1
165125724,"Texas",1,0,0,0,0,5,NA
163125049,"West Virginia",0,0,1,0,1,NA,0
165488565,"Arizona",0,1,1,0,0,NA,0
162341346,"Washington",0,0,1,0,0,55,0
162992124,"Oregon",1,0,1,0,0,25,NA
162382734,"Indiana",0,0,1,0,0,45,NA
162229292,"Illinois",0,0,1,0,1,75,0
162817204,"Arizona",0,0,1,0,1,75,1
163020708,"Massachusetts",0,0,1,0,0,NA,1
162740960,"Pennsylvania",1,0,1,0,0,25,1
163310387,"Delaware",1,0,0,1,1,90,1
162372179,"Wisconsin",1,0,1,0,1,90,1
162266277,"Georgia",0,1,1,0,0,15,0
165885238,"New York",0,0,1,0,0,25,0
163200430,"Texas",1,0,0,1,1,75,NA
162681875,"Massachusetts",0,0,1,0,1,225,0
162269988,"Oregon",1,0,1,0,0,75,0
164252495,"Virginia",1,0,0,0,1,15,NA
161981334,"Ohio",1,0,1,0,0,35,1
162428236,"Florida",1,0,1,0,1,15,NA
162547911,"Michigan",0,0,1,0,1,130,1
164701910,"Georgia",0,1,1,0,0,35,0
163182472,"Oregon",1,0,1,0,0,5,0
164053812,"Florida",0,1,0,0,0,NA,0
162830523,"Iowa",0,0,1,0,0,45,NA
163756400,"California",1,0,0,0,0,5,NA
164220696,"Texas",1,0,0,1,0,5,1
162823667,"Tennessee",0,1,1,0,1,130,0
162817340,"California",0,1,1,0,0,55,0
162328548,"Oregon",0,1,1,0,1,110,0
162400721,"Illinois",1,0,1,0,1,45,1
162255805,"Washington",1,0,1,0,1,130,1
162285471,"Vermont",0,1,1,0,1,NA,0
162194739,"Utah",0,1,1,0,1,130,0
162951423,"California",0,0,1,0,0,25,NA
166069075,"Arizona",0,0,1,0,0,25,NA
161879342,"California",0,0,0,0,0,55,1
