"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
164025043,"Pennsylvania",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1985"
163688329,"California",1,0,1,0,1,45,1,"Barack Obama (Democratic)","1976"
163168281,"Georgia",1,0,1,0,0,35,1,"Barack Obama (Democratic)","1943"
164422958,"Ohio",1,0,0,1,1,90,NA,NA,"1967"
166606525,"New Hampshire",0,0,1,0,0,25,NA,NA,"1965"
162986541,"Georgia",1,0,1,0,1,90,NA,NA,"1965"
162372752,"South Carolina",1,0,1,0,0,15,NA,NA,"1954"
164861453,"Tennessee",0,1,0,0,1,55,NA,NA,"1949"
163446847,"Utah",0,0,1,0,0,90,0,"Mitt Romney (Republican)","1969"
162351914,"New York",1,0,1,0,0,65,1,"Barack Obama (Democratic)","1942"
162598617,"Iowa",0,0,1,0,0,NA,NA,NA,"1961"
162856235,"Pennsylvania",1,0,1,0,1,90,0,"Mitt Romney (Republican)","1967"
163059221,"New York",0,1,1,0,0,35,0,"Mitt Romney (Republican)","1964"
162289326,"Washington",0,0,0,0,0,90,0,"Mitt Romney (Republican)","1947"
162542477,"Missouri",1,0,1,0,0,130,1,"Barack Obama (Democratic)","1962"
166629628,"North Carolina",0,0,1,0,1,55,0,"Mitt Romney (Republican)","1961"
166195246,"Kansas",0,0,1,0,0,55,0,"Mitt Romney (Republican)","1959"
163031383,"Florida",1,0,1,0,1,35,NA,NA,"1969"
162336132,"Arizona",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1949"
162689135,"Delaware",0,1,1,0,1,65,0,"Mitt Romney (Republican)","1954"
162620451,"New Jersey",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1943"
162572521,"Kansas",0,1,1,0,0,35,0,"Mitt Romney (Republican)","1955"
162528708,"Alabama",0,0,1,0,0,15,0,"Mitt Romney (Republican)","1950"
162714947,"Alabama",0,0,1,0,0,35,0,"Mitt Romney (Republican)","1944"
162264260,"Illinois",0,0,1,0,1,45,0,"Mitt Romney (Republican)","1934"
162977782,"New Hampshire",0,0,1,0,0,25,0,"Other","1943"
163867062,"Mississippi",1,0,0,0,0,NA,1,"Barack Obama (Democratic)","1952"
164540166,"New Jersey",1,0,1,0,0,25,NA,NA,"1991"
162255568,"Texas",0,1,1,0,0,15,0,"Mitt Romney (Republican)","1948"
163521832,"Texas",1,0,1,0,1,35,NA,NA,"1965"
163670598,"Arizona",0,1,0,0,0,NA,NA,NA,"1973"
162716913,"Texas",0,1,1,0,0,130,NA,NA,"1954"
162194430,"Pennsylvania",1,0,1,0,1,65,0,"Mitt Romney (Republican)","1946"
162350344,"South Carolina",0,1,1,0,1,90,0,"Mitt Romney (Republican)","1940"
163208892,"Massachusetts",1,0,1,0,1,NA,1,"Barack Obama (Democratic)","1961"
162441685,"Maryland",1,0,1,0,0,25,1,"Barack Obama (Democratic)","1928"
164327607,"New York",0,1,1,0,0,15,0,"Mitt Romney (Republican)","1985"
162253126,"New York",1,0,1,0,0,25,NA,NA,"1943"
162593447,"South Carolina",1,0,1,0,0,55,0,"Mitt Romney (Republican)","1986"
162959469,"Connecticut",0,1,0,0,1,130,0,"Mitt Romney (Republican)","1965"
162365262,"Arkansas",0,0,1,0,1,65,0,"Other","1950"
165794533,"Iowa",1,0,1,0,0,55,0,"Mitt Romney (Republican)","1949"
163181149,"Tennessee",0,0,1,0,0,25,0,"Mitt Romney (Republican)","1937"
162255805,"Washington",1,0,1,0,1,130,1,"Barack Obama (Democratic)","1939"
164572017,"California",1,0,0,0,1,35,1,"Barack Obama (Democratic)","1986"
162499062,"North Carolina",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1957"
161861125,"Virginia",0,1,1,0,0,130,1,"Barack Obama (Democratic)","1952"
164920696,"New York",1,0,0,0,0,65,1,"Barack Obama (Democratic)","1971"
166575633,"California",0,1,1,0,0,175,NA,NA,"1949"
162473701,"New York",0,1,1,0,0,25,0,"Mitt Romney (Republican)","1954"
165214930,"Texas",1,0,0,1,0,25,1,"Barack Obama (Democratic)","1952"
164978504,"California",1,0,0,0,0,15,NA,NA,"1990"
163112939,"Minnesota",0,1,1,0,1,110,0,"Mitt Romney (Republican)","1944"
163217213,"Texas",0,1,1,0,1,75,0,"Mitt Romney (Republican)","1941"
162202095,"Washington",1,0,1,0,0,90,1,"Barack Obama (Democratic)","1971"
164481111,"Massachusetts",0,0,1,0,0,25,1,"Barack Obama (Democratic)","1941"
162338112,"Tennessee",0,0,1,0,0,110,0,"Mitt Romney (Republican)","1946"
163376408,"Massachusetts",0,1,1,0,0,110,0,"Mitt Romney (Republican)","1977"
161858997,"Indiana",0,1,1,0,0,25,0,"Mitt Romney (Republican)","1940"
162609940,"New Jersey",0,1,1,0,1,110,0,"Mitt Romney (Republican)","1945"
164547404,"Texas",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1984"
164150214,"Connecticut",1,0,1,0,1,90,1,"Barack Obama (Democratic)","1950"
162394893,"Montana",0,0,1,0,0,75,NA,NA,"1967"
162338007,"Virginia",0,0,0,0,0,55,1,"Barack Obama (Democratic)","1949"
161808965,"Florida",1,0,0,0,1,35,1,"Barack Obama (Democratic)","1978"
165556378,"Michigan",1,0,1,0,1,25,1,"Barack Obama (Democratic)","1952"
163742016,"South Carolina",0,0,0,1,1,75,0,"Mitt Romney (Republican)","1963"
164507204,"California",0,0,0,1,0,15,NA,NA,"1981"
162882575,"Illinois",0,0,1,0,1,NA,0,"Mitt Romney (Republican)","1956"
164167099,"Utah",0,1,1,0,0,25,NA,NA,"1989"
163573783,"New Jersey",1,0,0,1,0,175,1,"Barack Obama (Democratic)","1958"
162887183,"New York",1,0,1,0,0,130,NA,NA,"1965"
162480371,"Oklahoma",0,1,0,0,0,NA,0,"Mitt Romney (Republican)","1949"
164774508,"Texas",0,1,1,0,0,35,NA,NA,"1987"
164998843,"Tennessee",1,0,1,0,0,25,1,"Barack Obama (Democratic)","1947"
162280813,"North Carolina",1,0,1,0,1,110,1,"Barack Obama (Democratic)","1945"
164352974,"California",0,0,1,0,0,35,NA,NA,"1988"
162424679,"Mississippi",0,0,0,0,0,NA,0,"Not sure","1953"
162278186,"Ohio",0,0,1,0,1,NA,0,"Mitt Romney (Republican)","1949"
165232206,"California",1,0,0,1,0,5,NA,NA,"1980"
162288561,"Washington",1,0,1,0,1,75,1,"Barack Obama (Democratic)","1933"
162443654,"Virginia",1,0,1,0,1,45,1,"Barack Obama (Democratic)","1958"
166607974,"California",1,0,1,0,1,75,1,"Barack Obama (Democratic)","1957"
162367893,"New Jersey",0,1,1,0,0,90,0,"Mitt Romney (Republican)","1939"
161809427,"New York",1,0,1,0,1,110,NA,NA,"1955"
164532914,"Maryland",1,0,1,0,0,90,1,"Barack Obama (Democratic)","1955"
162572168,"Georgia",0,1,1,0,1,65,0,"Mitt Romney (Republican)","1934"
163445936,"Arizona",0,1,1,0,1,175,0,"Mitt Romney (Republican)","1962"
162365066,"Maryland",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1953"
166566464,"Virginia",0,1,1,0,1,110,0,"Mitt Romney (Republican)","1963"
165125765,"California",1,0,0,0,0,35,NA,NA,"1984"
162130858,"Pennsylvania",0,0,1,0,0,15,NA,NA,"1976"
164205074,"California",0,0,1,0,0,110,0,"Mitt Romney (Republican)","1937"
164384365,"Illinois",0,1,1,0,0,55,NA,NA,"1943"
162582945,"Maryland",0,1,1,0,0,35,1,"Barack Obama (Democratic)","1930"
163005623,"New Jersey",0,0,0,0,1,75,1,"Barack Obama (Democratic)","1955"
163433596,"Georgia",1,0,0,1,0,75,0,"Mitt Romney (Republican)","1951"
164471990,"Florida",1,0,1,0,0,35,1,"Barack Obama (Democratic)","1956"
163573767,"Texas",1,0,1,0,0,NA,1,"Barack Obama (Democratic)","1951"
164797142,"Arizona",1,0,1,0,0,65,0,"Mitt Romney (Republican)","1982"
161823519,"Maryland",1,0,1,0,1,175,1,"Barack Obama (Democratic)","1955"
165933480,"Tennessee",0,0,1,0,0,75,0,"Mitt Romney (Republican)","1953"
161713968,"Kentucky",1,0,1,0,1,75,0,"Mitt Romney (Republican)","1974"
162777674,"Alabama",0,1,1,0,1,75,0,"Mitt Romney (Republican)","1950"
162606337,"Michigan",0,0,0,1,0,35,NA,NA,"1982"
161999212,"Arizona",0,1,1,0,0,25,0,"Mitt Romney (Republican)","1948"
162620465,"New Jersey",1,0,0,1,1,175,1,"Barack Obama (Democratic)","1962"
163659822,"Wisconsin",1,0,0,0,0,25,1,"Barack Obama (Democratic)","1969"
162617027,"Tennessee",0,0,1,0,0,65,1,"Barack Obama (Democratic)","1971"
163671879,"West Virginia",1,0,1,0,0,55,1,"Barack Obama (Democratic)","1962"
164897536,"Florida",1,0,1,0,0,35,1,"Barack Obama (Democratic)","1944"
162445480,"Colorado",0,1,1,0,1,90,0,"Mitt Romney (Republican)","1946"
163496573,"Michigan",0,1,1,0,0,35,NA,NA,"1932"
162301319,"Oregon",0,1,1,0,1,65,0,"Mitt Romney (Republican)","1944"
162276318,"Arizona",0,0,1,0,0,55,0,"Mitt Romney (Republican)","1934"
162273194,"Vermont",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1950"
161869571,"Maryland",0,0,1,0,1,75,0,"Mitt Romney (Republican)","1939"
162313907,"Arizona",1,0,1,0,1,110,1,"Barack Obama (Democratic)","1944"
165970904,"Oregon",0,1,0,0,0,55,NA,NA,"1965"
164340871,"New York",1,0,0,0,0,45,1,"Barack Obama (Democratic)","1969"
163177722,"Tennessee",0,0,1,0,1,75,0,"Mitt Romney (Republican)","1946"
163003042,"South Carolina",1,0,0,1,0,15,NA,NA,"1956"
162351666,"Oregon",0,1,1,0,0,65,0,"Mitt Romney (Republican)","1945"
164633522,"California",1,0,0,1,0,75,NA,NA,"1986"
163080941,"Ohio",1,0,1,0,0,75,1,"Barack Obama (Democratic)","1955"
162606400,"South Carolina",0,1,1,0,0,15,0,"Mitt Romney (Republican)","1961"
161988366,"Texas",0,0,1,0,0,90,1,"Barack Obama (Democratic)","1972"
164412067,"Vermont",1,0,1,0,0,NA,1,"Barack Obama (Democratic)","1966"
163176014,"Illinois",1,0,0,0,1,110,1,"Barack Obama (Democratic)","1986"
164551198,"Florida",0,0,1,0,0,35,NA,NA,"1988"
163795064,"California",0,0,1,0,0,25,NA,NA,"1957"
162438385,"New Hampshire",0,0,1,0,0,25,0,"Mitt Romney (Republican)","1969"
162879638,"Ohio",1,0,0,1,0,25,1,"Barack Obama (Democratic)","1961"
162395995,"Illinois",1,0,0,0,1,35,NA,NA,"1988"
162428719,"Georgia",1,0,0,1,1,45,NA,NA,"1975"
164970960,"California",0,1,1,0,0,110,0,"Mitt Romney (Republican)","1960"
164093609,"Illinois",0,1,1,0,0,75,0,"Mitt Romney (Republican)","1957"
161823818,"Florida",0,0,1,0,0,NA,0,"Mitt Romney (Republican)","1940"
162480403,"New Jersey",1,0,1,0,0,65,1,"Barack Obama (Democratic)","1957"
162328708,"Florida",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1963"
162293328,"North Carolina",0,0,0,0,0,130,0,"Mitt Romney (Republican)","1952"
164852456,"South Carolina",1,0,0,1,0,15,NA,NA,"1965"
161831693,"Ohio",1,0,1,0,0,65,1,"Barack Obama (Democratic)","1952"
164945928,"Florida",1,0,1,0,0,45,1,"Barack Obama (Democratic)","1987"
164981962,"California",1,0,0,0,0,25,NA,NA,"1993"
164384543,"New York",1,0,0,1,0,25,1,"Barack Obama (Democratic)","1975"
163064185,"Wisconsin",0,1,1,0,0,130,NA,NA,"1952"
165268224,"Texas",1,0,0,0,0,15,NA,NA,"1983"
162662246,"Wisconsin",0,1,1,0,1,45,1,"Barack Obama (Democratic)","1956"
165053648,"New York",1,0,1,0,0,175,NA,NA,"1964"
163255909,"Florida",1,0,1,0,0,35,NA,NA,"1989"
163404292,"Texas",1,0,0,1,1,130,1,"Barack Obama (Democratic)","1963"
164021168,"Kansas",1,0,1,0,0,45,0,"Other","1984"
164490115,"Florida",0,0,0,1,0,15,NA,NA,"1986"
162391842,"North Carolina",0,1,1,0,1,45,0,"Mitt Romney (Republican)","1969"
163519123,"New York",0,1,1,0,1,110,0,"Mitt Romney (Republican)","1948"
161893885,"Utah",0,1,1,0,1,55,0,"Mitt Romney (Republican)","1946"
163141681,"Delaware",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1942"
161895408,"California",0,1,1,0,0,NA,NA,NA,"1940"
162406423,"Washington",0,0,1,0,0,55,0,"Mitt Romney (Republican)","1945"
