"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
162441498,"Kansas",1,0,0,1,0,75,1,"Barack Obama (Democratic)","1971"
162347702,"Florida",0,0,1,0,1,25,0,"Mitt Romney (Republican)","1956"
162269000,"Florida",0,0,1,0,1,75,1,"Barack Obama (Democratic)","1934"
162375005,"New York",0,1,1,0,1,NA,0,"Mitt Romney (Republican)","1968"
164025066,"Pennsylvania",1,0,1,0,0,75,1,"Barack Obama (Democratic)","1954"
162305458,"Florida",1,0,0,0,1,15,NA,NA,"1953"
164234529,"Illinois",1,0,0,1,0,45,NA,NA,"1993"
164598255,"Georgia",0,0,1,0,0,130,0,"Mitt Romney (Republican)","1951"
162268462,"Ohio",0,0,0,0,1,225,0,"Mitt Romney (Republican)","1963"
162386217,"California",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1946"
162293372,"Oklahoma",1,0,1,0,1,55,1,"Barack Obama (Democratic)","1939"
164975184,"Texas",0,1,0,1,0,75,0,"Mitt Romney (Republican)","1950"
164241039,"California",1,0,0,0,0,45,0,"Other","1992"
164712173,"Pennsylvania",0,0,1,0,0,25,NA,NA,"1944"
162609265,"New York",0,1,1,0,0,15,0,"Mitt Romney (Republican)","1950"
165638390,"Rhode Island",1,0,0,0,0,5,1,"Barack Obama (Democratic)","1958"
163112841,"Florida",0,1,1,0,0,175,0,"Mitt Romney (Republican)","1937"
163682832,"Texas",0,1,1,0,0,35,NA,NA,"1947"
162677380,"Oregon",0,0,1,0,0,45,NA,NA,"1951"
162871070,"Louisiana",1,0,0,1,1,55,1,"Barack Obama (Democratic)","1970"
162698021,"Colorado",1,0,0,1,0,90,1,"Barack Obama (Democratic)","1955"
163062668,"Idaho",0,0,1,0,0,45,0,"Mitt Romney (Republican)","1941"
164302573,"California",0,0,1,0,0,90,0,"Mitt Romney (Republican)","1950"
162647787,"California",1,0,1,0,1,175,1,"Barack Obama (Democratic)","1930"
164144333,"California",0,0,0,0,0,NA,0,"Not sure","1985"
162471686,"New Hampshire",0,1,1,0,0,110,0,"Mitt Romney (Republican)","1963"
162259396,"California",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1949"
164052734,"Tennessee",0,0,0,1,0,35,NA,NA,"1983"
164828351,"Arizona",0,1,0,0,0,NA,0,"Mitt Romney (Republican)","1964"
165004574,"Texas",0,0,0,0,0,5,1,"Barack Obama (Democratic)","1959"
162280718,"Mississippi",0,1,1,0,1,175,0,"Mitt Romney (Republican)","1963"
163057265,"Florida",0,0,1,0,0,35,1,"Barack Obama (Democratic)","1943"
165254672,"Michigan",0,0,0,1,0,15,NA,NA,"1987"
162801532,"Tennessee",1,0,1,0,0,110,1,"Barack Obama (Democratic)","1952"
162349005,"Massachusetts",0,0,1,0,1,15,1,"Barack Obama (Democratic)","1947"
162165253,"California",0,0,1,0,1,175,0,"Mitt Romney (Republican)","1947"
162438378,"Massachusetts",1,0,0,0,0,35,NA,NA,"1969"
162550066,"South Carolina",0,0,1,0,0,45,NA,NA,"1956"
162361568,"Texas",0,1,1,0,0,300,NA,NA,"1951"
162301098,"Georgia",0,1,1,0,0,175,0,"Mitt Romney (Republican)","1958"
162441506,"Virginia",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1955"
162389084,"Texas",0,0,1,0,1,130,1,"Barack Obama (Democratic)","1955"
161579025,"Ohio",1,0,1,0,0,35,0,"Mitt Romney (Republican)","1934"
161819519,"Minnesota",0,1,1,0,0,45,0,"Mitt Romney (Republican)","1942"
165006548,"Georgia",1,0,0,1,1,425,NA,NA,"1966"
162352142,"Ohio",0,1,1,0,1,90,0,"Mitt Romney (Republican)","1938"
163058898,"Florida",0,1,1,0,0,NA,0,"Mitt Romney (Republican)","1954"
163433893,"New York",1,0,1,0,0,35,0,"Mitt Romney (Republican)","1966"
162538665,"New Jersey",1,0,0,1,0,75,1,"Barack Obama (Democratic)","1962"
162148121,"Florida",1,0,0,0,1,90,1,"Barack Obama (Democratic)","1942"
165652545,"Georgia",0,0,1,0,1,15,NA,NA,"1950"
162408694,"Arizona",0,0,1,0,1,NA,0,"Mitt Romney (Republican)","1981"
163069051,"Texas",0,0,0,1,0,90,NA,NA,"1974"
164800887,"Washington",0,0,1,0,0,110,NA,NA,"1943"
162524286,"Iowa",1,0,1,0,1,NA,1,"Barack Obama (Democratic)","1946"
163728366,"New York",1,0,0,0,1,45,1,"Barack Obama (Democratic)","1962"
163170709,"Connecticut",1,0,1,0,1,NA,1,"Barack Obama (Democratic)","1944"
162338270,"Tennessee",0,1,1,0,0,15,0,"Mitt Romney (Republican)","1949"
164204688,"California",0,0,1,0,0,45,NA,NA,"1957"
163393414,"Oklahoma",0,1,1,0,0,45,NA,NA,"1966"
161846583,"Florida",0,0,1,0,1,175,0,"Mitt Romney (Republican)","1948"
163861048,"Oregon",0,0,1,0,1,45,0,"Mitt Romney (Republican)","1949"
162891089,"Kentucky",0,0,1,0,0,NA,0,"Mitt Romney (Republican)","1955"
162480608,"New Hampshire",0,0,1,0,1,55,NA,NA,"1964"
162917283,"Ohio",1,0,0,1,0,35,1,"Barack Obama (Democratic)","1947"
161883760,"Ohio",1,0,0,1,0,90,1,"Barack Obama (Democratic)","1954"
163004807,"Colorado",0,0,1,0,0,35,1,"Barack Obama (Democratic)","1961"
162376718,"New York",0,0,1,0,0,NA,1,"Barack Obama (Democratic)","1949"
162707108,"Colorado",1,0,1,0,1,130,1,"Barack Obama (Democratic)","1967"
163001475,"California",0,1,1,0,0,35,0,"Mitt Romney (Republican)","1941"
164314456,"New York",0,0,1,0,0,NA,1,"Barack Obama (Democratic)","1932"
164861942,"Illinois",1,0,1,0,0,110,NA,NA,"1966"
165001315,"Michigan",1,0,0,1,1,110,NA,NA,"1936"
164475600,"Arizona",0,0,1,0,0,5,0,"Mitt Romney (Republican)","1966"
163127923,"New York",0,0,1,0,0,35,NA,NA,"1960"
162388936,"Wisconsin",0,0,1,0,0,55,0,"Mitt Romney (Republican)","1963"
163409113,"Missouri",1,0,0,1,0,35,1,"Barack Obama (Democratic)","1946"
162660022,"Maryland",0,0,0,0,0,NA,NA,NA,"1992"
162718633,"Virginia",0,0,1,0,0,NA,0,"Mitt Romney (Republican)","1937"
162412873,"Washington",0,1,1,0,0,110,NA,NA,"1945"
162529937,"Pennsylvania",0,0,0,0,0,NA,0,"Mitt Romney (Republican)","1958"
163569500,"New Jersey",1,0,0,1,1,75,NA,NA,"1938"
165062189,"Vermont",0,0,1,0,0,35,NA,NA,"1985"
162386793,"Tennessee",0,1,1,0,0,25,NA,NA,"1959"
164916191,"North Carolina",1,0,1,0,0,45,1,"Barack Obama (Democratic)","1963"
